第4954回,2018/07/02,193,143,"""62,700円""",897,"""10,400円""",369,"""36,500円""","1,610","""5,200円"""
第4955回,2018/07/03,489,79,"""104,200円""",314,"""17,300円""",161,"""60,700円""",708,"""8,600円"""
第4956回,2018/07/04,901,90,"""77,400円""",578,"""12,900円""",237,"""45,100円""","1,070","""6,400円"""
第4957回,2018/07/05,668,54,"""117,800円""",233,"""39,200円""",105,"""78,500円""",246,"""19,600円"""
第4958回,2018/07/06,870,80,"""89,200円""",404,"""14,800円""",227,"""52,000円""",738,"""7,400円"""
第4959回,2018/07/09,061,55,"""118,600円""",513,"""19,700円""",140,"""69,100円""",969,"""9,800円"""
第4960回,2018/07/10,625,114,"""72,200円""",476,"""12,000円""",231,"""42,100円""",836,"""6,000円"""
第4961回,2018/07/11,223,95,"""84,200円""",235,"""28,000円""",195,"""56,100円""",261,"""14,000円"""
第4962回,2018/07/12,205,58,"""115,000円""",369,"""19,100円""",154,"""67,000円""",657,"""9,500円"""
第4963回,2018/07/13,989,71,"""111,400円""",261,"""37,100円""",127,"""74,200円""",302,"""18,500円"""
第4964回,2018/07/16,176,85,"""75,700円""",800,"""12,600円""",163,"""44,100円""","1,558","""6,300円"""
第4965回,2018/07/17,877,48,"""87,800円""",301,"""29,200円""",128,"""58,500円""",409,"""14,600円"""
第4966回,2018/07/18,580,54,"""104,500円""",418,"""17,400円""",166,"""60,900円""",814,"""8,700円"""
第4967回,2018/07/19,051,58,"""96,600円""",446,"""16,100円""",148,"""56,300円""",967,"""8,000円"""
第4968回,2018/07/20,115,156,"""57,700円""",346,"""19,200円""",335,"""38,400円""",361,"""9,600円"""
第4969回,2018/07/23,330,121,"""78,500円""",346,"""26,100円""",255,"""52,300円""",317,"""13,000円"""
第4970回,2018/07/24,977,40,"""144,400円""",151,"""48,100円""",90,"""96,200円""",225,"""24,000円"""
第4971回,2018/07/25,778,94,"""83,300円""",295,"""27,700円""",156,"""55,500円""",318,"""13,800円"""
第4972回,2018/07/26,220,94,"""87,600円""",268,"""29,200円""",189,"""58,400円""",276,"""14,600円"""
第4973回,2018/07/27,241,54,"""94,900円""",560,"""15,800円""",147,"""55,300円""","1,076","""7,900円"""
第4974回,2018/07/30,096,81,"""117,500円""",520,"""19,500円""",123,"""68,500円""",872,"""9,700円"""
第4975回,2018/07/31,430,72,"""111,800円""",352,"""18,600円""",162,"""65,200円""",639,"""9,300円"""
