第6782回,2025/08/01,808,154口,"70,600円",266口,"23,500円",279口,"47,000円",255口,"11,700円",670口,"7,000円"
第6783回,2025/08/04,856,189口,"82,700円",390口,"13,700円",198口,"48,200円",933口,"6,800円",566口,"8,200円"
第6784回,2025/08/05,361,79口,"83,400円",496口,"13,900円",182口,"48,600円",1,135口,"6,900円",401口,"8,300円"
第6785回,2025/08/06,300,236口,"67,500円",203口,"22,500円",153口,"45,000円",247口,"11,200円",685口,"6,700円"
第6786回,2025/08/07,207,47口,"103,700円",361口,"17,200円",195口,"60,400円",811口,"8,600円",384口,"10,300円"
第6787回,2025/08/08,657,43口,"138,400円",314口,"23,000円",111口,"80,700円",752口,"11,500円",475口,"13,800円"
第6788回,2025/08/11,090,79口,"98,900円",252口,"32,900円",155口,"65,900円",355口,"16,400円",620口,"9,800円"
第6789回,2025/08/12,462,110口,"78,400円",459口,"13,000円",168口,"45,700円",1,151口,"6,500円",319口,"7,800円"
第6790回,2025/08/13,766,32口,"157,900円",121口,"52,600円",83口,"105,200円",168口,"26,300円",473口,"15,700円"
第6791回,2025/08/14,142,58口,"103,100円",390口,"17,100円",122口,"60,100円",988口,"8,500円",336口,"10,300円"
第6792回,2025/08/15,486,67口,"87,600円",523口,"14,600円",230口,"51,100円",1,109口,"7,300円",459口,"8,700円"
第6793回,2025/08/18,776,87口,"99,700円",232口,"33,200円",223口,"66,400円",314口,"16,600円",530口,"9,900円"
第6794回,2025/08/19,631,152口,"88,600円",323口,"14,700円",111口,"51,600円",946口,"7,300円",404口,"8,800円"
第6795回,2025/08/20,218,106口,"71,300円",501口,"11,800円",261口,"41,500円",1,085口,"5,900円",447口,"7,100円"
第6796回,2025/08/21,741,179口,"61,300円",597口,"10,200円",213口,"35,700円",1,287口,"5,100円",443口,"6,100円"
第6797回,2025/08/22,461,113口,"77,400円",550口,"12,900円",235口,"45,100円",1,210口,"6,400円",427口,"7,700円"
第6798回,2025/08/25,313,120口,"83,900円",253口,"27,900円",276口,"55,900円",346口,"13,900円",513口,"8,300円"
第6799回,2025/08/26,650,63口,"119,100円",296口,"19,800円",122口,"69,400円",699口,"9,900円",390口,"11,900円"
第6800回,2025/08/27,038,101口,"95,100円",389口,"15,800円",132口,"55,400円",972口,"7,900円",428口,"9,500円"
第6801回,2025/08/28,186,43口,"91,300円",509口,"15,200円",190口,"53,200円",1,275口,"7,600円",368口,"9,100円"
第6802回,2025/08/29,805,81口,"97,100円",377口,"16,100円",218口,"56,600円",766口,"8,000円",534口,"9,700円"
