draw_number,draw_date,numbers
4051,2015/01/05,0782
4052,2015/01/06,4931
4053,2015/01/07,3058
4054,2015/01/08,9946
4055,2015/01/09,4337
4056,2015/01/12,2069
4057,2015/01/13,5113
4058,2015/01/14,1284
4059,2015/01/15,5810
4060,2015/01/16,2142
4061,2015/01/19,1918
4062,2015/01/20,1841
4063,2015/01/21,0909
4064,2015/01/22,7802
4065,2015/01/23,3496
4066,2015/01/26,9353
4067,2015/01/27,7176
4068,2015/01/28,3404
4069,2015/01/29,2807
4070,2015/01/30,1666
4071,2015/02/02,7941
4072,2015/02/03,9935
4073,2015/02/04,7281
4074,2015/02/05,7028
4075,2015/02/06,4228
4076,2015/02/09,1470
4077,2015/02/10,8312
4078,2015/02/11,2805
4079,2015/02/12,6736
4080,2015/02/13,5142
4081,2015/02/16,5096
4082,2015/02/17,9048
4083,2015/02/18,7739
4084,2015/02/19,7112
4085,2015/02/20,2827
4086,2015/02/23,2457
4087,2015/02/24,6405
4088,2015/02/25,5180
4089,2015/02/26,3516
4090,2015/02/27,9524
4091,2015/03/02,1096
4092,2015/03/03,2654
4093,2015/03/04,0519
4094,2015/03/05,2166
4095,2015/03/06,3539
4096,2015/03/09,8573
4097,2015/03/10,1191
4098,2015/03/11,9846
4099,2015/03/12,2370
4100,2015/03/13,7078
4101,2015/03/16,9154
4102,2015/03/17,3533
4103,2015/03/18,6459
4104,2015/03/19,2469
4105,2015/03/20,7203
4106,2015/03/23,2371
4107,2015/03/24,9007
4108,2015/03/25,0175
4109,2015/03/26,8876
4110,2015/03/27,0542
4111,2015/03/30,6776
4112,2015/03/31,1770
4113,2015/04/01,6223
4114,2015/04/02,5046
4115,2015/04/03,9387
4116,2015/04/06,9840
4117,2015/04/07,6008
4118,2015/04/08,2196
4119,2015/04/09,5708
4120,2015/04/10,6739
4121,2015/04/13,8620
4122,2015/04/14,6990
4123,2015/04/15,2584
4124,2015/04/16,6779
4125,2015/04/17,8099
4126,2015/04/20,9314
4127,2015/04/21,4788
4128,2015/04/22,2864
4129,2015/04/23,0563
4130,2015/04/24,1884
4131,2015/04/27,3795
4132,2015/04/28,6220
4133,2015/04/29,1166
4134,2015/04/30,8474
